金额,支付途径,支付日期,标签,详情
0.39,支付宝,2021/12/06,理财,余额宝收益发放
-10.1,花呗,2021/12/06,吃饭,饭
-9.66,花呗,2021/12/06,吃饭,外卖
1.5,支付宝,2021/12/06,咸鱼,智能车制作
-9.0,微信,2021/12/07,学习,打印电气大型专题设计报告（包括孙明宇）
0.4,支付宝,2021/12/07,理财,余额宝收益发放
0.11,微信,2021/12/07,薅羊毛,拼多多
-8.4,花呗,2021/12/07,吃饭,外卖
-13.5,花呗,2021/12/07,吃饭,外卖
-4.0,花呗,2021/12/07,饮料,茉莉蜜茶
1.5,支付宝,2021/12/07,咸鱼,精通开关电源设计
0.54,支付宝,2021/12/08,理财,余额宝收益发放
0.14,微信,2021/12/08,薅羊毛,拼多多
-9.9,花呗,2021/12/08,吃饭,外卖
-12.7,花呗,2021/12/08,吃饭,外卖
0.02,微信,2021/12/08,理财,零钱通收益发放
1.2,微信,2021/12/08,薅羊毛,云扫码 红包
0.47,支付宝,2021/12/09,理财,余额宝收益发放
0.13,微信,2021/12/09,薅羊毛,拼多多
0.02,微信,2021/12/09,理财,零钱通收益发放
-14.3,花呗,2021/12/09,吃饭,外卖
-10.39,花呗,2021/12/09,吃饭,外卖
-4.0,花呗,2021/12/09,饮料,水
4.0,支付宝,2021/12/09,薅羊毛,短信：抖音关注。特邀：由于您每天观看抖音，可以来帮抖音点赞上粉，两小时75到360左右，點：vr02w.xyz
19.5,支付宝,2021/12/09,咸鱼,精通开关电源设计 第2版
1.5,支付宝,2021/12/09,咸鱼,精通开关电源设计
0.48,支付宝,2021/12/10,理财,余额宝收益发放
0.06,微信,2021/12/10,薅羊毛,拼多多
0.13,微信,2021/12/10,理财,零钱通收益发放
-10.5,花呗,2021/12/10,吃饭,海香阁餐厅11号
-5.0,花呗,2021/12/10,饮料,阿萨姆奶茶
-15.0,花呗,2021/12/10,吃饭,招牌鸭血粉丝汤
1.5,支付宝,2021/12/10,咸鱼,精通开关电源设计
-590.0,微信,2021/12/11,交通,2021-12-25大连到菏泽的机票
0.14,微信,2021/12/11,理财,零钱通收益发放
0.51,支付宝,2021/12/11,理财,余额宝收益发放
-11.65,花呗,2021/12/11,吃饭,海大烤盘饭（鸡蛋火腿烤盘）
-11.49,花呗,2021/12/11,吃饭,炸串拌饭
-4.0,花呗,2021/12/11,饮料,饮料
0.05,微信,2021/12/12,薅羊毛,拼多多
0.11,微信,2021/12/12,理财,零钱通收益发放
0.48,支付宝,2021/12/12,理财,余额宝收益发放
-11.34,花呗,2021/12/12,吃饭,炸鸡汉堡
-8.34,花呗,2021/12/12,吃饭,盘古混沌（鲜肉玉米混沌加量）
1.5,支付宝,2021/12/12,咸鱼,精通开关电源设计
0.08,微信,2021/12/13,薅羊毛,拼多多
0.1,微信,2021/12/13,理财,零钱通收益发放
0.48,支付宝,2021/12/13,理财,余额宝收益发放
-11.64,花呗,2021/12/13,吃饭,海大烤盘饭（鸡柳豆角双拼烤盘）
-8.34,花呗,2021/12/13,吃饭,千叶豆腐砂锅
-4.4,花呗,2021/12/13,吃饭,梅菜扣肉锅盔
0.05,微信,2021/12/14,薅羊毛,拼多多
0.14,微信,2021/12/14,理财,零钱通收益发放
0.55,支付宝,2021/12/14,理财,余额宝收益发放
-4.0,花呗,2021/12/14,饮料,饮料
-5.0,花呗,2021/12/14,生活,“猫王”抽纸
-10.64,花呗,2021/12/14,吃饭,海大烤盘饭（千叶豆腐头菜烤盘）
-8.34,花呗,2021/12/14,吃饭,盘古混沌（鲜肉混沌）
0.05,微信,2021/12/15,薅羊毛,拼多多
0.12,微信,2021/12/15,理财,零钱通收益发放
0.48,支付宝,2021/12/15,理财,余额宝收益发放
-9.34,花呗,2021/12/15,吃饭,鸡肉叉烧饭
-15.47,花呗,2021/12/15,吃饭,美味粥铺（牛肉大葱水饺+猪肉肉夹馍）
1.5,支付宝,2021/12/15,咸鱼,精通开关电源设计
0.05,微信,2021/12/16,薅羊毛,拼多多
0.16,微信,2021/12/16,理财,零钱通收益发放
0.48,支付宝,2021/12/16,理财,余额宝收益发放
-11.64,花呗,2021/12/16,吃饭,海大烤盘饭（骨肉相连土豆双拼烤盘）
-69.0,微信,2021/12/16,吃饭,刘彤、李炳学、黄以杰在外面吃饭（串串香）
0.1,微信,2021/12/17,薅羊毛,拼多多
-359.0,微信,2021/12/17,电子,笔记本电脑内存条（16GB）
0.11,微信,2021/12/17,理财,零钱通收益发放
0.48,支付宝,2021/12/17,理财,余额宝收益发放
-9.0,花呗,2021/12/17,吃饭,中心餐厅一楼7号
-11.18,花呗,2021/12/17,吃饭,美味粥铺
69.0,微信,2021/12/17,朋友,李炳学超时未收款，退回来了，刘彤、李炳学、黄以杰在外面吃饭（串串香）
0.05,微信,2021/12/18,薅羊毛,拼多多
0.11,微信,2021/12/18,理财,零钱通收益发放
0.48,支付宝,2021/12/18,理财,余额宝收益发放
-11.73,花呗,2021/12/18,吃饭,海大烤盘饭（骨肉相连土豆双拼烤盘）
-13.22,花呗,2021/12/18,吃饭,美味粥铺（纯肉混沌+猪肉肉夹馍）
0.13,微信,2021/12/19,薅羊毛,拼多多
-5.0,微信,2021/12/19,洗衣,洗衣
0.08,微信,2021/12/19,理财,零钱通收益发放
0.48,支付宝,2021/12/19,理财,余额宝收益发放
-14.43,支付宝,2021/12/19,吃饭,麻辣诱惑小炒鸡
-10.0,支付宝,2021/12/19,吃饭,混沌
-4.0,支付宝,2021/12/19,饮料,饮料
0.1,微信,2021/12/20,薅羊毛,拼多多
-14.0,微信,2021/12/20,吃饭,五食堂牛肉汤
0.08,微信,2021/12/20,理财,零钱通收益发放
0.48,支付宝,2021/12/20,理财,余额宝收益发放
-9.94,支付宝,2021/12/20,吃饭,外卖
0.37,中国银行,2021/12/20,理财,中国银行利息
0.09,微信,2021/12/21,理财,零钱通收益发放
0.36,支付宝,2021/12/21,理财,余额宝收益发放
-10.0,花呗,2021/12/21,吃饭,鸡蛋炒饼
0.03,邮政储蓄,2021/12/21,理财,邮政储蓄银行利息
-11.8,花呗,2021/12/21,吃饭,海大烤盘饭（鸡柳豆角双拼烤盘）
-4.0,花呗,2021/12/21,饮料,饮料
0.08,微信,2021/12/22,理财,零钱通收益发放
0.36,支付宝,2021/12/22,理财,余额宝收益发放
-8.0,花呗,2021/12/22,吃饭,黑椒肉柳饭
-25.0,花呗,2021/12/22,理发,不老美店
-10.0,花呗,2021/12/22,吃饭,混沌
-6.0,花呗,2021/12/22,吃饭,山东杂粮煎饼
-60.0,微信,2021/12/23,生活,邮寄行李
-3.0,微信,2021/12/23,生活,邮寄行李时的袋子
0.08,微信,2021/12/23,理财,零钱通收益发放
0.45,支付宝,2021/12/23,理财,余额宝收益发放
-15.5,花呗,2021/12/23,吃饭,满口香卤肉排骨米饭
-10.78,花呗,2021/12/23,吃饭,美味粥铺
0.08,微信,2021/12/24,理财,零钱通收益发放
0.36,支付宝,2021/12/24,理财,余额宝收益发放
-11.5,花呗,2021/12/24,吃饭,中心餐厅一楼6号
-3.0,花呗,2021/12/24,生活,邮寄行李时的袋子
-14.44,花呗,2021/12/24,吃饭,盘古混沌（鲜肉混沌加量）
-10.0,微信,2021/12/24,话费,翼支付充值
5.0,微信,2021/12/24,薅羊毛,翼支付话费充值
-60.0,微信,2021/12/25,生活,邮寄行李
-15.0,微信,2021/12/25,交通,回家时学校到机场出租车费用（和许俊杰一块回去的）
-3.0,微信,2021/12/25,交通,菏泽汽车站到郓城公交车
0.08,微信,2021/12/25,理财,零钱通收益发放
0.36,支付宝,2021/12/25,理财,余额宝收益发放
-7.5,花呗,2021/12/25,吃饭,海事五餐厅二号2
0.07,微信,2021/12/26,理财,零钱通收益发放
0.36,支付宝,2021/12/26,理财,余额宝收益发放
0.07,微信,2021/12/27,理财,零钱通收益发放
0.35,支付宝,2021/12/27,理财,余额宝收益发放
0.36,支付宝,2021/12/28,理财,余额宝收益发放
0.07,微信,2021/12/28,理财,零钱通收益发放
-4.15,花呗,2021/12/28,家庭,一次性手套食品级加厚塑料薄膜透明餐饮商用厨房龙虾美发家用防护 均码;【特厚款】100只1袋
4.0,花呗,2021/12/28,薅羊毛,淘宝红包：一次性手套食品级加厚塑料薄膜透明餐饮商用厨房龙虾美发家用防护 均码;【特厚款】100只1袋
0.37,支付宝,2021/12/29,理财,余额宝收益发放
0.07,微信,2021/12/29,理财,零钱通收益发放
19.5,支付宝,2021/12/29,咸鱼,精通开关电源设计
0.41,支付宝,2021/12/30,理财,余额宝收益发放
0.08,微信,2021/12/30,理财,零钱通收益发放
-15.84,花呗,2021/12/30,咸鱼,精通开关电源设计
0.38,支付宝,2021/12/31,理财,余额宝收益发放
0.08,微信,2021/12/31,理财,零钱通收益发放
1.5,支付宝,2021/12/31,咸鱼,精通开关电源设计
0.06,微信,2022/01/01,薅羊毛,拼多多
0.08,微信,2022/01/01,理财,零钱通收益发放
0.49,支付宝,2022/01/01,理财,余额宝收益发放
-5.6,花呗,2022/01/01,家庭,10双高档合金筷家用筷子筷子防滑不发霉耐高温不变形酒店餐具套装，10双装金福
3.16,花呗,2022/01/01,薅羊毛,淘宝红包：10双高档合金筷家用筷子筷子防滑不发霉耐高温不变形酒店餐具套装，10双装金福
0.08,微信,2022/01/02,理财,零钱通收益发放
0.37,支付宝,2022/01/02,理财,余额宝收益发放
0.08,微信,2022/01/03,理财,零钱通收益发放
0.37,支付宝,2022/01/03,理财,余额宝收益发放
1.5,支付宝,2022/01/03,咸鱼,精通开关电源设计
0.08,微信,2022/01/04,理财,零钱通收益发放
0.37,支付宝,2022/01/04,理财,余额宝收益发放
0.08,微信,2022/01/05,理财,零钱通收益发放
0.37,支付宝,2022/01/05,理财,余额宝收益发放
3.06,支付宝,2022/01/05,理财,安增益31天
0.09,微信,2022/01/06,薅羊毛,拼多多
0.08,微信,2022/01/06,理财,零钱通收益发放
0.36,支付宝,2022/01/06,理财,余额宝收益发放
1.5,支付宝,2022/01/06,咸鱼,精通开关电源设计
-6.8,花呗,2022/01/06,家庭,a4文件夹多层学生用透明插页试卷整理神器初中高中生书夹子分类试卷夹卷子孕检产检资料册收纳袋风琴包大容量 简约款【8层1个装】A4（单个可装180张）
1.0,花呗,2022/01/06,薅羊毛,淘宝店铺：懿仝办公专营店，首单礼金
0.54,花呗,2022/01/06,薅羊毛,淘宝店铺：懿仝办公专营店，店铺优惠
3.16,花呗,2022/01/06,薅羊毛,淘宝红包：a4文件夹多层学生用透明插页试卷整理神器初中高中生书夹子分类试卷夹卷子孕检产检资料册收纳袋风琴包大容量 简约款【8层1个装】A4（单个可装180张）
0.08,微信,2022/01/07,理财,零钱通收益发放
0.41,支付宝,2022/01/07,理财,余额宝收益发放
-3.18,花呗,2022/01/07,家庭,得力双面胶 学生用高粘度薄款手工棉纸两面强力透明不留痕胶带布 宽0.9cm（4卷装）
3.16,花呗,2022/01/07,薅羊毛,淘宝红包：得力双面胶 学生用高粘度薄款手工棉纸两面强力透明不留痕胶带布 宽0.9cm（4卷装）
0.08,微信,2022/01/08,理财,零钱通收益发放
0.41,支付宝,2022/01/08,理财,余额宝收益发放
1.5,支付宝,2022/01/08,咸鱼,精通开关电源设计
1.5,支付宝,2022/01/08,咸鱼,精通开关电源设计
-4.2,花呗,2022/01/08,家庭,清让文具荧光笔标记笔学生用学习记号笔彩色重点轮廓笔记背书神器 清让浅色荧光笔[3支装（无包装）]
0.12,花呗,2022/01/08,薅羊毛,淘金币抵扣：清让文具荧光笔标记笔学生用学习记号笔彩色重点轮廓笔记背书神器 清让浅色荧光笔[3支装（无包装）]
3.16,花呗,2022/01/08,薅羊毛,淘宝红包：清让文具荧光笔标记笔学生用学习记号笔彩色重点轮廓笔记背书神器 清让浅色荧光笔[3支装（无包装）]
0.1,微信,2022/01/09,薅羊毛,拼多多
0.07,微信,2022/01/09,理财,零钱通收益发放
0.41,支付宝,2022/01/09,理财,余额宝收益发放
-10.0,花呗,2022/01/09,家庭,打印资料网上打印数码激光彩色复印装订资料文件图文快印店服务 白色(黄春娇的题目)
3.0,花呗,2022/01/09,薅羊毛,淘宝红包：打印资料网上打印数码激光彩色复印装订资料文件图文快印店服务 白色(黄春娇的题目)
-3.7,花呗,2022/01/09,家庭,韩版笔袋男初高中生简约超大容量创意双层文具盒女生拉链帆布笔袋【单个装】樱花粉
2.8,花呗,2022/01/09,薅羊毛,淘宝红包：韩版笔袋男初高中生简约超大容量创意双层文具盒女生拉链帆布笔袋【单个装】樱花粉
-3.01,花呗,2022/01/09,家庭,2大卷无芯卷纸家用实惠装卫生纸巾卷筒纸擦手纸厕所厕纸整箱批发
2.8,花呗,2022/01/09,薅羊毛,淘宝红包：2大卷无芯卷纸家用实惠装卫生纸巾卷筒纸擦手纸厕所厕纸整箱批发
2.18,支付宝,2022/01/09,薅羊毛,支付宝投资理财【钱管家】红包奖励发放
0.41,支付宝,2022/01/10,理财,余额宝收益发放
1.58,支付宝,2022/01/10,薅羊毛,支付宝投资理财【钱管家】红包奖励发放
1.5,支付宝,2022/01/10,咸鱼,精通开关电源设计
0.44,支付宝,2022/01/11,理财,余额宝收益发放
0.09,微信,2022/01/12,理财,零钱通收益发放
0.47,支付宝,2022/01/12,理财,余额宝收益发放
0.19,微信,2022/01/13,理财,零钱通收益发放
0.47,支付宝,2022/01/13,理财,余额宝收益发放
1.5,支付宝,2022/01/13,咸鱼,精通开关电源设计
0.16,微信,2022/01/14,理财,零钱通收益发放
0.46,支付宝,2022/01/14,理财,余额宝收益发放
1.5,支付宝,2022/01/14,咸鱼,精通开关电源设计
1.5,支付宝,2022/01/14,咸鱼,Linux程序设计
1.5,支付宝,2022/01/14,咸鱼,智能车制作
0.05,微信,2022/01/15,薅羊毛,拼多多
0.13,微信,2022/01/15,理财,零钱通收益发放
0.46,支付宝,2022/01/15,理财,余额宝收益发放
0.1,微信,2022/01/16,理财,零钱通收益发放
0.46,支付宝,2022/01/16,理财,余额宝收益发放
-8.5,花呗,2022/01/16,家庭,傅雷家书 钢铁是怎样炼成 初中生八年级人教版指定青少年课外书籍：傅雷家书解析版
4.0,花呗,2022/01/16,薅羊毛,拼多多红包：傅雷家书 钢铁是怎样炼成 初中生八年级人教版指定青少年课外书籍：傅雷家书解析版
-6.8,花呗,2022/01/16,家庭,2片装书立架L型立式简约大号书夹书靠书挡板隔板桌面收纳创意ins风高中生分类收纳卡通无印风时尚卡通铁书架 L型/四叶草镂空【粉2片】
1.0,花呗,2022/01/16,薅羊毛,淘宝店铺：美销宝创优闪购专卖店，首单礼金
2.24,花呗,2022/01/16,薅羊毛,淘宝红包：2片装书立架L型立式简约大号书夹书靠书挡板隔板桌面收纳创意ins风高中生分类收纳卡通无印风时尚卡通铁书架 L型/四叶草镂空【粉2片】
0.11,微信,2022/01/17,薅羊毛,拼多多
0.1,微信,2022/01/17,理财,零钱通收益发放
0.46,支付宝,2022/01/17,理财,余额宝收益发放
0.13,微信,2022/01/18,理财,零钱通收益发放
0.47,支付宝,2022/01/18,理财,余额宝收益发放
-24.4,花呗,2022/01/18,家庭,教材帮，八年级下册，物理-教科版
5.0,花呗,2022/01/18,薅羊毛,5元店铺无门槛券：瑞泰图书专营店
0.14,微信,2022/01/19,薅羊毛,拼多多
0.47,支付宝,2022/01/19,理财,余额宝收益发放
-23.4,花呗,2022/01/19,家庭,教材帮，八年级下册，数学-北师版
5.0,花呗,2022/01/19,薅羊毛,5元店铺无门槛券：瑞泰图书专营店
-10.0,花呗,2022/01/19,话费,手机充值
0.66,花呗,2022/01/19,薅羊毛,手机充值红包
0.14,微信,2022/01/20,薅羊毛,拼多多
0.13,微信,2022/01/20,理财,零钱通收益发放
0.47,支付宝,2022/01/20,理财,余额宝收益发放
0.11,微信,2022/01/21,理财,零钱通收益发放
0.46,支付宝,2022/01/21,理财,余额宝收益发放
0.11,微信,2022/01/22,理财,零钱通收益发放
0.5,支付宝,2022/01/22,理财,余额宝收益发放
0.05,支付宝,2022/01/22,薅羊毛,余额宝红包奖励发放
0.13,微信,2022/01/23,薅羊毛,拼多多
0.1,微信,2022/01/23,理财,零钱通收益发放
0.45,支付宝,2022/01/23,理财,余额宝收益发放
-20.0,花呗,2022/01/23,家庭,给妈妈充话费
-5.0,花呗,2022/01/23,家庭,家里充电费
2.01,花呗,2022/01/23,薅羊毛,充电费红包
0.11,微信,2022/01/24,薅羊毛,拼多多
0.1,微信,2022/01/24,理财,零钱通收益发放
0.45,支付宝,2022/01/24,理财,余额宝收益发放
0.09,微信,2022/01/25,理财,零钱通收益发放
0.45,支付宝,2022/01/25,理财,余额宝收益发放
0.24,QQ,2022/01/25,新年红包,QQ活动红包
0.48,支付宝,2022/01/26,理财,余额宝收益发放
0.09,微信,2022/01/26,理财,零钱通收益发放
-9.9,支付宝,2022/01/26,家庭,年货零食大礼包休闲小吃肉类食品整箱宿舍耐吃的小零食辣条混合装 30包零食（鱼仔+素肉+辣条）【限量抢！】
1.0,支付宝,2022/01/26,薅羊毛,首单礼金（醒小妹食品专营店）：年货零食大礼包休闲小吃肉类食品整箱宿舍耐吃的小零食辣条混合装 30包零食（鱼仔+素肉+辣条）【限量抢！】
2.24,支付宝,2022/01/26,薅羊毛,淘宝红包：年货零食大礼包休闲小吃肉类食品整箱宿舍耐吃的小零食辣条混合装 30包零食（鱼仔+素肉+辣条）【限量抢！】
1.08,支付宝,2022/01/26,薅羊毛,支付宝小荷包红包：年货零食大礼包休闲小吃肉类食品整箱宿舍耐吃的小零食辣条混合装 30包零食（鱼仔+素肉+辣条）【限量抢！】
0.01,支付宝,2022/01/26,理财,余额宝红包奖励发放
0.45,支付宝,2022/01/27,理财,余额宝收益发放
0.09,微信,2022/01/27,理财,零钱通收益发放
1.5,支付宝,2022/01/27,咸鱼,精通开关电源设计
0.45,支付宝,2022/01/28,理财,余额宝收益发放
0.1,微信,2022/01/28,理财,零钱通收益发放
-0.01,花呗,2022/01/28,吃饭,超级吃货卡订单：1500000058637777204
0.39,支付宝,2022/01/29,理财,余额宝收益发放
0.11,微信,2022/01/29,理财,零钱通收益发放
0.38,支付宝,2022/01/30,理财,余额宝收益发放
0.1,微信,2022/01/30,理财,零钱通收益发放
0.38,支付宝,2022/01/31,理财,余额宝收益发放
0.1,微信,2022/01/31,理财,零钱通收益发放
7.58,微信,2022/01/31,新年红包,陈材的微信红包（过年发红包）
0.38,支付宝,2022/02/01,理财,余额宝收益发放
2.28,支付宝,2022/02/01,新年红包,支付宝新年红包
0.1,微信,2022/02/01,理财,零钱通收益发放
0.38,支付宝,2022/02/02,理财,余额宝收益发放
0.1,微信,2022/02/02,理财,零钱通收益发放
0.38,支付宝,2022/02/03,理财,余额宝收益发放
0.1,微信,2022/02/03,理财,零钱通收益发放
-9.0,微信,2022/02/03,交通,去，年，走亲戚，去外婆家，我、妈、妹坐车车票钱
0.38,支付宝,2022/02/04,理财,余额宝收益发放
0.09,微信,2022/02/04,理财,零钱通收益发放
-0.1,微信,2022/02/04,家庭,她他服饰连锁
-2.0,微信,2022/02/04,家庭,在郓城交通车站（交通枢纽）等车时，在自动售货机上买的卫龙辣条
-9.0,微信,2022/02/04,交通,回，年，走亲戚，去外婆家，我、妈、妹坐车车票钱
-9.9,花呗,2022/02/04,家庭,特价清仓超值文具福盒笔记本子按动笔手帐本福袋套装开学文具礼包
3.0,花呗,2022/02/04,薅羊毛,拼多多红包：特价清仓超值文具福盒笔记本子按动笔手帐本福袋套装开学文具礼包
0.38,支付宝,2022/02/05,理财,余额宝收益发放
0.09,微信,2022/02/05,理财,零钱通收益发放
0.38,支付宝,2022/02/06,理财,余额宝收益发放
0.09,微信,2022/02/06,理财,零钱通收益发放
0.38,支付宝,2022/02/07,理财,余额宝收益发放
0.09,微信,2022/02/07,理财,零钱通收益发放
0.39,支付宝,2022/02/08,理财,余额宝收益发放
0.09,微信,2022/02/08,理财,零钱通收益发放
0.39,支付宝,2022/02/09,理财,余额宝收益发放
0.09,微信,2022/02/09,理财,零钱通收益发放
0.39,支付宝,2022/02/10,理财,余额宝收益发放
0.09,微信,2022/02/10,理财,零钱通收益发放
0.08,微信,2022/02/10,薅羊毛,拼多多
2.9,支付宝,2022/02/10,理财,红包奖励发放
1.5,支付宝,2022/02/10,咸鱼,精通开关电源设计
0.39,支付宝,2022/02/11,理财,余额宝收益发放
0.09,微信,2022/02/11,理财,零钱通收益发放
-10.0,花呗,2022/02/11,话费,话费
0.06,花呗,2022/02/11,薅羊毛,支付宝充话费红包
0.42,支付宝,2022/02/12,理财,余额宝收益发放
0.09,微信,2022/02/12,理财,零钱通收益发放
0.42,支付宝,2022/02/13,理财,余额宝收益发放
0.09,微信,2022/02/13,理财,零钱通收益发放
0.42,支付宝,2022/02/14,理财,余额宝收益发放
0.09,微信,2022/02/14,理财,零钱通收益发放
0.42,支付宝,2022/02/15,理财,余额宝收益发放
0.09,微信,2022/02/15,理财,零钱通收益发放
0.42,支付宝,2022/02/16,理财,余额宝收益发放
0.08,微信,2022/02/16,理财,零钱通收益发放
0.41,支付宝,2022/02/17,理财,余额宝收益发放
0.09,微信,2022/02/17,理财,零钱通收益发放
0.12,微信,2022/02/17,薅羊毛,拼多多
0.42,支付宝,2022/02/18,理财,余额宝收益发放
0.09,微信,2022/02/18,理财,零钱通收益发放
0.41,支付宝,2022/02/19,理财,余额宝收益发放
0.08,微信,2022/02/19,理财,零钱通收益发放
0.41,支付宝,2022/02/20,理财,余额宝收益发放
0.09,微信,2022/02/20,理财,零钱通收益发放
3.0,微信,2022/02/20,薅羊毛,快手极速版红包提现
0.41,支付宝,2022/02/21,理财,余额宝收益发放
0.09,微信,2022/02/21,理财,零钱通收益发放
1.0,支付宝,2022/02/21,薅羊毛,支付宝小荷包优惠
0.09,微信,2022/02/22,理财,零钱通收益发放
0.4,支付宝,2022/02/22,理财,余额宝收益发放
0.09,微信,2022/02/23,理财,零钱通收益发放
0.4,支付宝,2022/02/23,理财,余额宝收益发放
0.09,微信,2022/02/24,理财,零钱通收益发放
0.41,支付宝,2022/02/24,理财,余额宝收益发放
0.09,微信,2022/02/25,理财,零钱通收益发放
0.4,支付宝,2022/02/25,理财,余额宝收益发放
0.1,微信,2022/02/26,理财,零钱通收益发放
0.4,支付宝,2022/02/26,理财,余额宝收益发放
0.2,支付宝,2022/02/26,薅羊毛,淘宝（中国）软件有限公司 2022-02-26 03:38:20
0.14,微信,2022/02/26,薅羊毛,拼多多
0.09,微信,2022/02/27,理财,零钱通收益发放
0.4,支付宝,2022/02/27,理财,余额宝收益发放
-15.8,花呗,2022/02/27,电子,Dell戴尔鼠标有线笔记超级本台式一体机电脑办公家用鼠标USB滑鼠 戴尔静音【不含鼠标垫】;官方标配 https://ur.alipay.com/7BnF9T
5.47,花呗,2022/02/27,薅羊毛,淘宝红包(5) + 淘金币(0.47)：Dell戴尔鼠标有线笔记超级本台式一体机电脑办公家用鼠标USB滑鼠 戴尔静音【不含鼠标垫】;官方标配 https://ur.alipay.com/7BnF9T
-50.0,支付宝,2022/02/27,话费,仁创话费充值专营店   辽宁大连电信特惠充值话费50元 1小时内到账
0.7,支付宝,2022/02/27,薅羊毛,仁创话费充值专营店减免   辽宁大连电信特惠充值话费50元 1小时内到账
0.12,微信,2022/02/27,薅羊毛,拼多多
0.09,微信,2022/02/28,理财,零钱通收益发放
0.4,支付宝,2022/02/28,理财,余额宝收益发放
1.5,支付宝,2022/02/28,咸鱼,精通开关电源设计 第2版 2022-02-28 23:15:39
0.09,微信,2022/03/01,理财,零钱通收益发放
0.4,支付宝,2022/03/01,理财,余额宝收益发放
0.1,微信,2022/03/01,薅羊毛,拼多多
0.1,微信,2022/03/02,理财,零钱通收益发放
0.41,支付宝,2022/03/02,理财,余额宝收益发放
19.5,支付宝,2022/03/02,咸鱼,包邮 智能车制作 王盼宝 主编 电子电路专业科技
-12.6,花呗,2022/03/02,咸鱼,智能车制作
0.1,微信,2022/03/02,薅羊毛,拼多多
0.09,微信,2022/03/03,理财,零钱通收益发放
0.4,支付宝,2022/03/03,理财,余额宝收益发放
0.11,微信,2022/03/03,薅羊毛,拼多多
0.09,微信,2022/03/04,理财,零钱通收益发放
0.42,支付宝,2022/03/04,理财,余额宝收益发放
1.5,支付宝,2022/03/04,咸鱼,精通开关电源设计 第2版 2022-03-04 18:04:18
0.12,微信,2022/03/04,薅羊毛,拼多多
0.09,微信,2022/03/05,理财,零钱通收益发放
0.41,支付宝,2022/03/05,理财,余额宝收益发放
19.5,支付宝,2022/03/05,咸鱼,精通开关电源设计 第2版
-14.8,花呗,2022/03/05,咸鱼,精通开关电源设计 第2版
0.17,微信,2022/03/05,薅羊毛,拼多多
0.09,微信,2022/03/06,理财,零钱通收益发放
0.41,支付宝,2022/03/06,理财,余额宝收益发放
0.11,微信,2022/03/06,薅羊毛,拼多多
0.09,微信,2022/03/07,理财,零钱通收益发放
0.41,支付宝,2022/03/07,理财,余额宝收益发放
-19.8,花呗,2022/03/07,家庭,2021-2022年金榜题名/中考满分作文大全新版全国5年中学生获奖优秀满分作文大全初中生作文选作文素材书语文作文大全 中考满分作文专辑
3.0,花呗,2022/03/07,薅羊毛,淘宝红包：2021-2022年金榜题名/中考满分作文大全新版全国5年中学生获奖优秀满分作文大全初中生作文选作文素材书语文作文大全 中考满分作文专辑
3.0,花呗,2022/03/07,薅羊毛,首单礼金：融鼎图书专营店 2021-2022年金榜题名/中考满分作文大全新版全国5年中学生获奖优秀满分作文大全初中生作文选作文素材书语文作文大全 中考满分作文专辑
1.5,支付宝,2022/03/07,咸鱼,精通开关电源设计 第2版 2022-03-07 23:55:36
0.32,微信,2022/03/07,薅羊毛,拼多多
0.1,微信,2022/03/08,理财,零钱通收益发放
0.41,支付宝,2022/03/08,理财,余额宝收益发放
32.0,支付宝,2022/03/08,瞎搞,QQ上有一个人加好友，拉我进群，说做抖音点赞任务可以赚钱，我就试了几个，后来又说银行卡转钱，我就不参加了，白薅了这些羊毛，类似这种：https://zhuanlan.zhihu.com/p/386091460
-5.0,花呗,2022/03/08,瞎搞,有一项爱心捐赠的任务，支付宝捐赠5元返9.8元（已经返了）。QQ上有一个人加好友，拉我进群，说做抖音点赞任务可以赚钱，我就试了几个，后来又说银行卡转钱，我就不参加了，白薅了这些羊毛，类似这种：https://zhuanlan.zhihu.com/p/386091460
0.11,微信,2022/03/08,薅羊毛,拼多多
0.09,微信,2022/03/09,理财,零钱通收益发放
0.41,支付宝,2022/03/09,理财,余额宝收益发放
-15.0,花呗,2022/03/09,理发,五界家西：扫收钱码付款-给*兆丰（自己走着去的）
0.25,花呗,2022/03/09,薅羊毛,支付宝现金支付红包：理发时用的
0.32,微信,2022/03/09,薅羊毛,拼多多
0.09,微信,2022/03/10,理财,零钱通收益发放
0.41,支付宝,2022/03/10,理财,余额宝收益发放
0.12,微信,2022/03/10,薅羊毛,拼多多
0.11,微信,2022/03/11,理财,零钱通收益发放
0.41,支付宝,2022/03/11,理财,余额宝收益发放
0.09,微信,2022/03/11,薅羊毛,拼多多
0.12,微信,2022/03/12,理财,零钱通收益发放
0.44,支付宝,2022/03/12,理财,余额宝收益发放
0.09,微信,2022/03/12,薅羊毛,拼多多
0.09,微信,2022/03/13,理财,零钱通收益发放
0.44,支付宝,2022/03/13,理财,余额宝收益发放
0.09,微信,2022/03/13,薅羊毛,拼多多
0.09,微信,2022/03/14,理财,零钱通收益发放
0.44,支付宝,2022/03/14,理财,余额宝收益发放
0.28,微信,2022/03/14,薅羊毛,拼多多
0.1,微信,2022/03/15,理财,零钱通收益发放
0.44,支付宝,2022/03/15,理财,余额宝收益发放
0.13,微信,2022/03/15,薅羊毛,拼多多
-1.2,微信,2022/03/15,其他,2021年10月-2022年3月团费
0.09,微信,2022/03/16,理财,零钱通收益发放
